image_name,species,percentage_darker,darker_pixel_count,total_wingtip_pixels
FS7E2526.png,Slaty_Backed_Gull,74.62179062328906,103584,138812
FS7E2531.png,Slaty_Backed_Gull,65.41090693258961,193961,296527
FS7E2560.png,Slaty_Backed_Gull,37.4189520195956,93492,249852
IMG_3053.jpg,Slaty_Backed_Gull,35.48438243221817,2238,6307
IMG_6878.jpeg,Slaty_Backed_Gull,23.914077019492588,5533,23137
mod-0R8A4927.JPG,Slaty_Backed_Gull,47.21560573311954,355415,752749
mod-0R8A5046.JPG,Slaty_Backed_Gull,51.69280074926647,141294,273334
mod-0R8A5109.JPG,Slaty_Backed_Gull,59.26508217526927,520204,877758
mod-0R8A5217.JPG,Slaty_Backed_Gull,63.122255371928524,150640,238648
005.png,Glaucous_Winged_Gull,68.38259441707719,8329,12180
006.png,Glaucous_Winged_Gull,93.95463116393348,16443,17501
011.png,Glaucous_Winged_Gull,75.7682276902143,13364,17638
012.png,Glaucous_Winged_Gull,55.45746388443018,2764,4984
014.png,Glaucous_Winged_Gull,39.299818550539015,3682,9369
018.png,Glaucous_Winged_Gull,27.659405940594063,3492,12625
019.png,Glaucous_Winged_Gull,30.820586495394238,3647,11833
020.png,Glaucous_Winged_Gull,1.284639383373096,70,5449
026.png,Glaucous_Winged_Gull,69.95708154506438,1141,1631
028.png,Glaucous_Winged_Gull,36.177021652923955,255260,705586
030.png,Glaucous_Winged_Gull,4.17201540436457,65,1558
032.png,Glaucous_Winged_Gull,15.28014190167776,93898,614510
035.png,Glaucous_Winged_Gull,62.75955461931989,4171,6646
036.png,Glaucous_Winged_Gull,40.86285905890242,3656,8947
039.png,Glaucous_Winged_Gull,90.08365019011407,5923,6575
040.png,Glaucous_Winged_Gull,24.25868398757413,1718,7082
043.png,Glaucous_Winged_Gull,93.08851828094933,5805,6236
045.png,Glaucous_Winged_Gull,77.97936677339025,4384,5622
052.png,Glaucous_Winged_Gull,9.261672095548317,853,9210
053.png,Glaucous_Winged_Gull,54.44834183673469,3415,6272
055.png,Glaucous_Winged_Gull,42.66949152542373,3021,7080
058.png,Glaucous_Winged_Gull,46.39498432601881,1628,3509
062.png,Glaucous_Winged_Gull,38.341476655808904,2825,7368
063.png,Glaucous_Winged_Gull,31.07603325701892,2579,8299
064.png,Glaucous_Winged_Gull,3.0386081982840802,255,8392
067.png,Glaucous_Winged_Gull,8.68421052631579,858,9880
070.png,Glaucous_Winged_Gull,10.028412080395665,953,9503
072.png,Glaucous_Winged_Gull,35.863127878920814,4905,13677
073.png,Glaucous_Winged_Gull,82.33944954128441,2513,3052
075.png,Glaucous_Winged_Gull,44.25490497413042,8639,19521
076.png,Glaucous_Winged_Gull,25.457463884430176,793,3115
079.png,Glaucous_Winged_Gull,38.07249227311043,1355,3559
080.png,Glaucous_Winged_Gull,16.243710952617903,2938,18087
081.png,Glaucous_Winged_Gull,18.17728373948981,2551,14034
082.png,Glaucous_Winged_Gull,81.62036137555859,4201,5147
083.png,Glaucous_Winged_Gull,54.71936473560729,3032,5541
086.png,Glaucous_Winged_Gull,84.44875525379891,7836,9279
088.png,Glaucous_Winged_Gull,8.973043559369462,962,10721
089.png,Glaucous_Winged_Gull,48.219025003492106,3452,7159
092.png,Glaucous_Winged_Gull,48.00038500409067,9974,20779
095.png,Glaucous_Winged_Gull,2.444834503510531,195,7976
096.png,Glaucous_Winged_Gull,75.61154598825833,9273,12264
0Z2A0606.JPG,Glaucous_Winged_Gull,58.03843010304652,181077,311995
0Z2A1082.JPG,Glaucous_Winged_Gull,38.22333214413129,96426,252270
0Z2A1461.JPG,Glaucous_Winged_Gull,7.248918483773611,34803,480113
0Z2A1867.JPG,Glaucous_Winged_Gull,31.927131186213405,102859,322168
0Z2A2252.JPG,Glaucous_Winged_Gull,17.776804592180298,37751,212361
0Z2A2497.JPG,Glaucous_Winged_Gull,22.71880516395643,55856,245858
0Z2A3579.JPG,Glaucous_Winged_Gull,13.82784416892035,45046,325763
0Z2A7326.JPG,Glaucous_Winged_Gull,10.618938342257604,22489,211782
0Z2A7850.JPG,Glaucous_Winged_Gull,12.734073037451685,61148,480192
0Z2A8458 (1).JPG,Glaucous_Winged_Gull,17.551982739765638,94694,539506
0Z2A8669.JPG,Glaucous_Winged_Gull,15.450322313325207,38780,250998
0Z2A9044.JPG,Glaucous_Winged_Gull,11.598912683615326,26626,229556
0Z2A9154.JPG,Glaucous_Winged_Gull,12.927804181585358,46541,360007
0Z2A9820.JPG,Glaucous_Winged_Gull,17.897932629752784,49520,276680
103.png,Glaucous_Winged_Gull,33.36964415395788,2757,8262
104.png,Glaucous_Winged_Gull,67.40704973442782,4188,6213
105.png,Glaucous_Winged_Gull,66.47048641163234,3840,5777
106.png,Glaucous_Winged_Gull,62.77761500146498,10713,17065
